--- Page Replacement Timeline ---

Step  | Page  | Event | Evicted | Frames State
73    | 14    | Hit   | ---     | 14, 17, 5, 6, 2, 4, 20, 15, 1, 10
74    | 2     | Hit   | ---     | 14, 17, 5, 6, 2, 4, 20, 15, 1, 10
75    | 15    | Hit   | ---     | 14, 17, 5, 6, 2, 4, 20, 15, 1, 10
76    | 16    | Fault | 6       | 14, 17, 5, 2, 4, 20, 15, 1, 10, 16
77    | 14    | Hit   | ---     | 14, 17, 5, 2, 4, 20, 15, 1, 10, 16
78    | 7     | Fault | 14      | 17, 5, 2, 4, 20, 15, 1, 10, 16, 7
79    | 8     | Fault | 2       | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
80    | 1     | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
81    | 5     | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
82    | 10    | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
83    | 17    | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
84    | 16    | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
85    | 7     | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
86    | 17    | Hit   | ---     | 17, 5, 4, 20, 15, 1, 10, 16, 7, 8
87    | 13    | Fault | 1       | 17, 5, 4, 20, 15, 10, 16, 7, 8, 13
88    | 4     | Hit   | ---     | 17, 5, 4, 20, 15, 10, 16, 7, 8, 13
89    | 7     | Hit   | ---     | 17, 5, 4, 20, 15, 10, 16, 7, 8, 13
90    | 10    | Hit   | ---     | 17, 5, 4, 20, 15, 10, 16, 7, 8, 13
91    | 8     | Hit   | ---     | 17, 5, 4, 20, 15, 10, 16, 7, 8, 13
92    | 0     | Fault | 10      | 17, 5, 4, 20, 15, 16, 7, 8, 13, 0
93    | 8     | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 13, 0
94    | 8     | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 13, 0
95    | 20    | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 13, 0
96    | 5     | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 13, 0
97    | 19    | Fault | 13      | 17, 5, 4, 20, 15, 16, 7, 8, 0, 19
98    | 8     | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 0, 19
99    | 20    | Hit   | ---     | 17, 5, 4, 20, 15, 16, 7, 8, 0, 19
100   | 18    | Fault | 5       | 17, 4, 20, 15, 16, 7, 8, 0, 19, 18
101   | 17    | Hit   | ---     | 17, 4, 20, 15, 16, 7, 8, 0, 19, 18
102   | 19    | Hit   | ---     | 17, 4, 20, 15, 16, 7, 8, 0, 19, 18
103   | 19    | Hit   | ---     | 17, 4, 20, 15, 16, 7, 8, 0, 19, 18
104   | 15    | Hit   | ---     | 17, 4, 20, 15, 16, 7, 8, 0, 19, 18
105   | 12    | Fault | 15      | 17, 4, 20, 16, 7, 8, 0, 19, 18, 12
106   | 17    | Hit   | ---     | 17, 4, 20, 16, 7, 8, 0, 19, 18, 12
107   | 2     | Fault | 12      | 17, 4, 20, 16, 7, 8, 0, 19, 18, 2
108   | 17    | Hit   | ---     | 17, 4, 20, 16, 7, 8, 0, 19, 18, 2
109   | 18    | Hit   | ---     | 17, 4, 20, 16, 7, 8, 0, 19, 18, 2
110   | 9     | Fault | 17      | 4, 20, 16, 7, 8, 0, 19, 18, 2, 9
111   | 16    | Hit   | ---     | 4, 20, 16, 7, 8, 0, 19, 18, 2, 9
112   | 20    | Hit   | ---     | 4, 20, 16, 7, 8, 0, 19, 18, 2, 9
113   | 16    | Hit   | ---     | 4, 20, 16, 7, 8, 0, 19, 18, 2, 9
114   | 0     | Hit   | ---     | 4, 20, 16, 7, 8, 0, 19, 18, 2, 9
115   | 3     | Fault | 0       | 4, 20, 16, 7, 8, 19, 18, 2, 9, 3
116   | 8     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 3
117   | 2     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 3
118   | 18    | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 3
119   | 6     | Fault | 3       | 4, 20, 16, 7, 8, 19, 18, 2, 9, 6
120   | 9     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 6
121   | 7     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 6
122   | 4     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 6
123   | 4     | Hit   | ---     | 4, 20, 16, 7, 8, 19, 18, 2, 9, 6
124   | 14    | Fault | 2       | 4, 20, 16, 7, 8, 19, 18, 9, 6, 14
125   | 11    | Fault | 8       | 4, 20, 16, 7, 19, 18, 9, 6, 14, 11
126   | 19    | Hit   | ---     | 4, 20, 16, 7, 19, 18, 9, 6, 14, 11
127   | 9     | Hit   | ---     | 4, 20, 16, 7, 19, 18, 9, 6, 14, 11
128   | 11    | Hit   | ---     | 4, 20, 16, 7, 19, 18, 9, 6, 14, 11
129   | 19    | Hit   | ---     | 4, 20, 16, 7, 19, 18, 9, 6, 14, 11
130   | 12    | Fault | 16      | 4, 20, 7, 19, 18, 9, 6, 14, 11, 12
131   | 4     | Hit   | ---     | 4, 20, 7, 19, 18, 9, 6, 14, 11, 12
132   | 9     | Hit   | ---     | 4, 20, 7, 19, 18, 9, 6, 14, 11, 12
133   | 5     | Fault | 4       | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
134   | 20    | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
135   | 14    | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
136   | 9     | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
137   | 5     | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
138   | 18    | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
139   | 7     | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
140   | 6     | Hit   | ---     | 20, 7, 19, 18, 9, 6, 14, 11, 12, 5
141   | 13    | Fault | 20      | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
142   | 12    | Hit   | ---     | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
143   | 19    | Hit   | ---     | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
144   | 14    | Hit   | ---     | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
145   | 11    | Hit   | ---     | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
146   | 6     | Hit   | ---     | 7, 19, 18, 9, 6, 14, 11, 12, 5, 13
147   | 10    | Fault | 19      | 7, 18, 9, 6, 14, 11, 12, 5, 13, 10
148   | 5     | Hit   | ---     | 7, 18, 9, 6, 14, 11, 12, 5, 13, 10
149   | 17    | Fault | 7       | 18, 9, 6, 14, 11, 12, 5, 13, 10, 17
150   | 4     | Fault | 17      | 18, 9, 6, 14, 11, 12, 5, 13, 10, 4
151   | 9     | Hit   | ---     | 18, 9, 6, 14, 11, 12, 5, 13, 10, 4
152   | 11    | Hit   | ---     | 18, 9, 6, 14, 11, 12, 5, 13, 10, 4
153   | 14    | Hit   | ---     | 18, 9, 6, 14, 11, 12, 5, 13, 10, 4
154   | 11    | Hit   | ---     | 18, 9, 6, 14, 11, 12, 5, 13, 10, 4
155   | 1     | Fault | 14      | 18, 9, 6, 11, 12, 5, 13, 10, 4, 1
156   | 10    | Hit   | ---     | 18, 9, 6, 11, 12, 5, 13, 10, 4, 1
157   | 13    | Hit   | ---     | 18, 9, 6, 11, 12, 5, 13, 10, 4, 1
158   | 11    | Hit   | ---     | 18, 9, 6, 11, 12, 5, 13, 10, 4, 1
159   | 16    | Fault | 11      | 18, 9, 6, 12, 5, 13, 10, 4, 1, 16
160   | 18    | Hit   | ---     | 18, 9, 6, 12, 5, 13, 10, 4, 1, 16
161   | 0     | Fault | 10      | 18, 9, 6, 12, 5, 13, 4, 1, 16, 0
162   | 6     | Hit   | ---     | 18, 9, 6, 12, 5, 13, 4, 1, 16, 0
163   | 5     | Hit   | ---     | 18, 9, 6, 12, 5, 13, 4, 1, 16, 0
164   | 15    | Fault | 6       | 18, 9, 12, 5, 13, 4, 1, 16, 0, 15
165   | 15    | Hit   | ---     | 18, 9, 12, 5, 13, 4, 1, 16, 0, 15
166   | 13    | Hit   | ---     | 18, 9, 12, 5, 13, 4, 1, 16, 0, 15
167   | 8     | Fault | 18      | 9, 12, 5, 13, 4, 1, 16, 0, 15, 8
168   | 4     | Hit   | ---     | 9, 12, 5, 13, 4, 1, 16, 0, 15, 8
169   | 12    | Hit   | ---     | 9, 12, 5, 13, 4, 1, 16, 0, 15, 8
170   | 4     | Hit   | ---     | 9, 12, 5, 13, 4, 1, 16, 0, 15, 8
171   | 16    | Hit   | ---     | 9, 12, 5, 13, 4, 1, 16, 0, 15, 8
172   | 7     | Fault | 13      | 9, 12, 5, 4, 1, 16, 0, 15, 8, 7
173   | 2     | Fault | 8       | 9, 12, 5, 4, 1, 16, 0, 15, 7, 2
174   | 5     | Hit   | ---     | 9, 12, 5, 4, 1, 16, 0, 15, 7, 2
175   | 17    | Fault | 1       | 9, 12, 5, 4, 16, 0, 15, 7, 2, 17
176   | 20    | Fault | 17      | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
177   | 16    | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
178   | 5     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
179   | 0     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
180   | 9     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
181   | 2     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
182   | 16    | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
183   | 5     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
184   | 7     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
185   | 9     | Hit   | ---     | 9, 12, 5, 4, 16, 0, 15, 7, 2, 20
186   | 3     | Fault | 5       | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
187   | 16    | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
188   | 4     | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
189   | 15    | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
190   | 9     | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
191   | 7     | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
192   | 12    | Hit   | ---     | 9, 12, 4, 16, 0, 15, 7, 2, 20, 3
193   | 1     | Fault | 4       | 9, 12, 16, 0, 15, 7, 2, 20, 3, 1
194   | 16    | Hit   | ---     | 9, 12, 16, 0, 15, 7, 2, 20, 3, 1
195   | 0     | Hit   | ---     | 9, 12, 16, 0, 15, 7, 2, 20, 3, 1
196   | 8     | Fault | 16      | 9, 12, 0, 15, 7, 2, 20, 3, 1, 8
197   | 13    | Fault | 0       | 9, 12, 15, 7, 2, 20, 3, 1, 8, 13
198   | 18    | Fault | 15      | 9, 12, 7, 2, 20, 3, 1, 8, 13, 18
199   | 9     | Hit   | ---     | 9, 12, 7, 2, 20, 3, 1, 8, 13, 18
200   | 12    | Hit   | ---     | 9, 12, 7, 2, 20, 3, 1, 8, 13, 18
